Drug Name,Drug Class,Hint 1 (Contraindications),Hint 2 (Adverse effects),Hint 3 (What symptom(s) and disease(s) drug is used to treat),"Hint 4 (what is the effect of this drug? (NOT MOA, but physical impact))",Hint 5 (what makes this drug unique from others in its class?),Hint 6 (MOA)
Atomoxetine,Non-Stimulant ADHD Medications,Avoid this drug with MAOIs and use caution in severe liver disease.,"It can cause nausea, decreased appetite, sleepiness, increased blood pressure, and rare liver injury.",It is used for ADHD when a non-stimulant option is preferred.,It improves attention and impulse control without being a controlled stimulant.,It has less misuse potential than stimulant ADHD medicines.,It selectively inhibits norepinephrine reuptake in the CNS.
Ethinyl Estradiol/Norethindrone,Combined Oral Contraceptives,"Avoid this drug in pregnancy, active thromboembolism, estrogen-sensitive cancer, or migraine with aura.","It can cause nausea, breast tenderness, breakthrough bleeding, hypertension, and blood clots.","It is used for contraception, cycle control, dysmenorrhea, acne, and heavy menstrual bleeding.",It prevents ovulation and makes cervical mucus less favorable for sperm.,It contains a first-generation progestin that can be useful for predictable cycle control.,It suppresses FSH and LH to inhibit ovulation and thickens cervical mucus through progestin effects.
Ethinyl Estradiol/Levonorgestrel,Combined Oral Contraceptives,"Avoid this drug in smokers over 35, active clotting disease, pregnancy, or migraine with aura.","It can cause nausea, breast tenderness, breakthrough bleeding, hypertension, and venous thromboembolism.",It is used for contraception and menstrual cycle regulation.,It prevents ovulation and creates cervical mucus that slows sperm movement.,It contains a more androgenic progestin and is also used in some emergency contraception products.,It suppresses FSH and LH to block ovulation and thickens cervical mucus to reduce sperm penetration.
Ethinyl Estradiol/Drospirenone,Combined Oral Contraceptives,"Avoid this drug in kidney disease, adrenal insufficiency, active clotting disease, or pregnancy.","It can cause nausea, breast tenderness, breakthrough bleeding, blood clots, and high potassium.","It is used for contraception, acne, premenstrual dysphoric disorder, and cycle control.",It prevents ovulation and may reduce fluid retention and androgen-related acne.,Its progestin has antiandrogenic and antimineralocorticoid activity.,"It suppresses FSH and LH to inhibit ovulation and thickens cervical mucus, while drospirenone antagonizes androgen and mineralocorticoid receptors."
Norethindrone (Mini-pill),Progestin-Only Contraceptives,"Avoid this drug in pregnancy, active breast cancer, or unexplained vaginal bleeding.","It can cause irregular bleeding, headache, breast tenderness, and mood changes.",It is used for contraception when estrogen is not desired or is contraindicated.,It thickens cervical mucus and may suppress ovulation in some cycles.,It must be taken at the same time every day because timing is less forgiving.,"It activates progesterone receptors, thickens cervical mucus, alters the endometrium, and variably suppresses LH ovulation signals."
Medroxyprogesterone (Depo),Progestin-Only Contraceptives,"Avoid this drug in pregnancy, active breast cancer, or unexplained vaginal bleeding.","It can cause irregular bleeding, weight gain, delayed fertility return, and bone density loss.",It is used for long-acting contraception and sometimes for abnormal uterine bleeding.,It suppresses ovulation for months after each injection.,It is given as an injection every three months.,"It activates progesterone receptors and suppresses GnRH, LH, and ovulation while thickening cervical mucus."
Levonorgestrel IUD,Progestin-Only Contraceptives,"It should not be used when pregnancy, unexplained vaginal bleeding, active pelvic infection, or uterine cancer is suspected.","It can cause irregular bleeding, cramping, ovarian cysts, or rarely uterine perforation during placement.",It is used for long-term pregnancy prevention and can also help with heavy menstrual bleeding.,It makes cervical mucus thicker and usually makes the uterine lining thinner.,It works mainly inside the uterus and can last for years with very low daily hormone exposure.,"It activates progesterone receptors to thicken cervical mucus, thin the endometrium, and reduce sperm survival."
Estradiol,Estrogens,"It should not be used in estrogen-sensitive cancer, active clotting disease, severe liver disease, or unexplained vaginal bleeding.","It can cause breast tenderness, nausea, headache, fluid retention, and an increased risk of blood clots.","It is used for menopausal hot flashes, vaginal atrophy, ovarian failure, and gender-affirming hormone therapy.",It supports female secondary sex characteristics and improves estrogen-deficiency symptoms.,It is the main natural estrogen made by the ovaries before menopause.,It binds estrogen receptors and changes gene transcription in estrogen-responsive tissues.
Conjugated Estrogens,Estrogens,"They should not be used in estrogen-sensitive cancer, active thromboembolism, severe liver disease, or unexplained vaginal bleeding.","They can cause breast tenderness, nausea, headache, endometrial hyperplasia, and increased risk of blood clots.","They are used for menopausal vasomotor symptoms, vulvovaginal atrophy, and estrogen deficiency.",They reduce hot flashes and help maintain estrogen effects on genital and other tissues.,They are a mixture of estrogen compounds rather than a single estrogen molecule.,They activate estrogen receptors to regulate transcription in estrogen-responsive tissues.
Progesterone,Progestins,"It should not be used with unexplained vaginal bleeding, active clotting disease, severe liver disease, or known breast cancer.","It can cause sleepiness, mood changes, bloating, breast tenderness, and irregular bleeding.","It is used for luteal support, abnormal uterine bleeding, contraception regimens, and endometrial protection during estrogen therapy.",It stabilizes the uterine lining and helps prepare the uterus for pregnancy.,It is the natural progestin that rises after ovulation from the corpus luteum.,It binds progesterone receptors and changes gene transcription to make the endometrium secretory and reduce uterine excitability.
Medroxyprogesterone,Progestins,"It should not be used in pregnancy, unexplained vaginal bleeding, active clotting disease, severe liver disease, or breast cancer.","It can cause weight gain, irregular bleeding, delayed return of fertility, and decreased bone mineral density with long-term use.","It is used for contraception, abnormal uterine bleeding, endometrial hyperplasia prevention, and some hormone-sensitive cancers.",It suppresses ovulation and often makes periods lighter or less frequent over time.,It can be given as a long-acting injection that provides contraception for about three months.,"It activates progesterone receptors to inhibit GnRH pulsatility, suppress the LH surge, thicken cervical mucus, and thin the endometrium."
Oxytocin,Oxytocics,"It should not be used when vaginal delivery is unsafe, such as placenta previa, uterine rupture risk, or major fetal malposition.","It can cause uterine tachysystole, fetal distress, hypotension, and water retention with high doses.","It is used to induce labor, strengthen labor contractions, and treat postpartum uterine bleeding.",It increases the strength and frequency of uterine contractions and helps milk let down.,It is a posterior pituitary hormone that is commonly given by IV infusion during labor.,"It activates Gq-coupled oxytocin receptors, increasing intracellular calcium in uterine smooth muscle and myoepithelial cells."
Methylergonovine,Oxytocics,"It should not be used in hypertension, preeclampsia, or significant vascular disease because it can raise blood pressure.","It can cause severe hypertension, nausea, vomiting, headache, and painful uterine cramping.",It is used after delivery to treat postpartum hemorrhage from uterine atony.,"It produces strong, sustained uterine contraction that helps compress bleeding vessels.",It is an ergot-derived uterotonic that is avoided in hypertensive patients.,"It activates uterine smooth muscle through serotonergic and alpha-adrenergic effects, causing sustained uterine contraction."
Sildenafil,PDE5 Inhibitors,It should not be used with nitrates or riociguat because severe hypotension can occur.,"It can cause headache, flushing, nasal congestion, dyspepsia, hypotension, and blue-tinted vision.",It is used for erectile dysfunction and pulmonary arterial hypertension.,It improves penile blood filling and lowers pulmonary vascular resistance.,It has a shorter duration than the once-daily long-acting option in its class.,"It inhibits phosphodiesterase-5, increasing cGMP and enhancing nitric oxide-mediated smooth muscle relaxation."
Tadalafil,PDE5 Inhibitors,It should not be used with nitrates or riociguat because severe hypotension can occur.,"It can cause headache, flushing, dyspepsia, nasal congestion, back pain, and myalgia.","It is used for erectile dysfunction, benign prostatic hyperplasia symptoms, and pulmonary arterial hypertension.",It improves erectile response and can relax smooth muscle in the prostate and pulmonary vessels.,It lasts much longer than most similar agents and can be used as a daily medication.,"It inhibits phosphodiesterase-5, increasing cGMP and enhancing nitric oxide-mediated smooth muscle relaxation."
